direction	category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
down	Metabolism	Metabolism of cofactors and vitamins	hsa00830	Retinol metabolism	19/972	61/7732	0.311475409836066	2.47770356877825	4.39343160050154	0.00010707065725923	0.00235555445970305	0.00197611107783701	5959/124/54884/1551/216/125/8854/126/127/1576/56603/316/1543/9249/130/220/6121/1577/54490	19
down	Organismal Systems	Circulatory system	hsa04261	Adrenergic signaling in cardiomyocytes	35/972	149/7732	0.23489932885906	1.86856132792002	4.0592959563479	0.000149193573298842	0.00307711744928861	0.00258144143273654	148/2770/154/5502/5519/6330/477/3753/9586/196883/781/102723475/10411/6331/493/487/482/5521/5350/6332/11149/5578/815/4634/486/4624/7169/6547/111/153/4633/70/4625/186/7134	35
down	Human Diseases	Cardiovascular disease	hsa05412	Arrhythmogenic right ventricular cardiomyopathy	23/972	84/7732	0.273809523809524	2.17808152067411	4.11641041406389	0.000190790597852718	0.00370358219361159	0.00310699239846841	3679/1756/8082/781/6645/3672/859/6443/3908/6934/487/1674/3680/6445/88/8910/6442/4842/29119/137868/284217/89/6547	23
down	Metabolism	Lipid metabolism	hsa00071	Fatty acid degradation	14/972	43/7732	0.325581395348837	2.58991291032635	3.96415159651464	0.000514903687394217	0.00943990093556064	0.00791927893477655	2180/124/3033/217/125/113612/126/10449/127/33/2182/35/1962/130	14
down	Metabolism	Amino acid metabolism	hsa00350	Tyrosine metabolism	12/972	34/7732	0.352941176470588	2.80755265068991	4.00515273709895	0.000562860382303922	0.00977599611369971	0.00820123437927599	8639/124/125/314/4128/126/127/3242/316/7173/130/1638	12
down	Environmental Information Processing	Signal transduction	hsa04014	Ras signaling pathway	46/972	229/7732	0.200873362445415	1.59789386669542	3.48258710356462	0.000724717127124519	0.0119578325975546	0.010031610759671	2277/51378/2791/54331/22808/2246/2247/284/7010/23179/3815/80310/5063/4303/3479/2114/5295/5924/2324/5154/22821/57144/5602/2904/2252/3791/4915/4909/5156/4233/4804/1969/53358/2788/11145/22800/5337/5322/1956/3082/5578/5321/1950/8823/8822/5320	46
down	Environmental Information Processing	Membrane transport	hsa02010	ABC transporters	14/972	45/7732	0.311111111111111	2.4748056698674	3.76218576677937	0.000861021003115249	0.0135303300489539	0.0113508031989629	225/10350/10349/10351/23460/10060/340273/23461/5243/19/9429/368/8647/64241	14
down	Organismal Systems	Sensory system	hsa04740	Olfactory transduction	17/972	61/7732	0.278688524590164	2.21689266680159	3.6180021553071	0.00102455098338179	0.0153682647507269	0.0128926750540389	5138/157/2774/5153/5137/5997/5136/2788/284521/123041/83988/143503/815/390072/6547/26664/8387	17
down	Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	49/972	253/7732	0.193675889328063	1.5406398932969	3.31531045971695	0.00114898661485653	0.0164854601262023	0.01382990753809	130399/3953/2690/7048/3977/3952/85480/2920/6387/6358/3590/6376/90865/651/57007/51554/3579/94/6360/3569/2662/650/1896/654/56477/8793/6368/1271/4838/4804/1440/6366/2921/943/27190/6357/60401/5196/6347/2660/6369/1524/5473/146433/338376/10913/3596/653/8600	49
down	Environmental Information Processing	Signal transduction	hsa04152	AMPK signaling pathway	27/972	119/7732	0.226890756302521	1.80485527544351	3.35498808328565	0.00143613310896313	0.019746830248243	0.0165659213884782	6517/32/3991/5468/3953/5207/148/2308/948/3952/2998/5519/5105/9370/23417/5209/1149/9586/3479/5295/81617/5521/8660/6319/10891/8789/53632	27
down	Human Diseases	Substance dependence	hsa05032	Morphine addiction	21/972	86/7732	0.244186046511628	1.94243468274476	3.33242942209896	0.00180536061302745	0.0238307600919624	0.0199919933147882	5138/5140/2791/2770/157/54331/5153/196883/5137/50940/2869/27115/5136/2564/2565/2788/8622/2557/5578/111/2555	21
down	Metabolism	Lipid metabolism	hsa00140	Steroid hormone biosynthesis	15/972	54/7732	0.277777777777778	2.20964791952446	3.38227900643501	0.00206287518268335	0.0257273798573792	0.0215830969776419	5959/1551/3290/8644/1645/1576/51170/1646/1543/412/1583/1589/1577/6718/54490	15
down	Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	21/972	87/7732	0.241379310344828	1.92010784731091	3.27255713260315	0.00210496744287648	0.0257273798573792	0.0215830969776419	3679/7148/948/7450/158326/131873/3910/3672/3915/3908/5649/9899/3680/3909/3914/1285/284217/3918/10319/22987/1288	21
down	Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	60/972	334/7732	0.179640718562874	1.4289938641236	3.0390984677202	0.00232686724546199	0.0268271628593447	0.0225057219521775	3679/7148/2277/51378/2791/2690/10110/54331/7450/2998/5519/5105/2246/131873/2247/284/7010/9586/3815/80310/3910/3672/7099/10161/3479/6446/5295/2324/3915/3569/5154/3908/2252/3791/4915/5649/4909/5521/3164/5156/3680/3909/4233/4804/1969/1440/2788/894/3914/1956/3082/5578/1285/284217/1950/3918/10319/8823/8822/1288	60
down	Metabolism	Lipid metabolism	hsa00561	Glycerolipid metabolism	16/972	60/7732	0.266666666666667	2.12126200274348	3.30602439811894	0.00235753855430605	0.0268271628593447	0.0225057219521775	57678/4023/8613/8611/84649/217/57104/11343/10555/132158/84803/23175/116255/9162/3990/1607	16
down	Organismal Systems	Endocrine system	hsa04924	Renin secretion	17/972	67/7732	0.253731343283582	2.01836496529697	3.17440542589175	0.00310245362798369	0.0341269899078206	0.0286296597950776	4881/5140/2770/154/358/5153/117/5137/5734/22802/155/3759/5136/1906/1908/111/153	17
down	Metabolism	Carbohydrate metabolism	hsa00500	Starch and sucrose metabolism	10/972	32/7732	0.3125	2.48585390946502	3.19362087955952	0.0044799090919232	0.047689354849505	0.0400073375611478	8908/5837/2998/7360/2632/5236/280/5836/2645/93432	10
