direction	ontology	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
up	BP	GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	43/2405	114/15715	0.37719298245614	2.46469343837765	6.67167420219861	3.95867980065308e-09	5.86189124327475e-07	5.39042904029549e-07	CCL11/CXCL11/CXCL10/H2BC6/CAMP/H2BC12L/H2BC12/TOR2A/EVPL/H2BC4/S100A7/H2BC7/H2BC11/CXCL9/H2BC21/GAPDH/H2BC8/NOD2/CCL7/ROMO1/CCL20/PGLYRP4/CCL17/CXCL13/S100A9/H2BC10/CCL25/F2/PGLYRP3/CCL19/CCL1/KNG1/DCD/BPIFA1/CALCA/DEFB126/CCL15/REG1A/HTN1/NPY/DMBT1/PGC/KRT6A	43
up	BP	GO:0045839	negative regulation of mitotic nuclear division	28/2405	59/15715	0.474576271186441	3.10102540611015	6.87272221199767	5.43779135109125e-09	7.850811263138e-07	7.21938351743563e-07	NUF2/SPC25/PLK1/CENPF/BUB1/CCNB1/ZWINT/BUB1B/NDC80/CDCA8/BIRC5/CDC20/SKA1/SKA3/KNL1/AURKB/TTK/TRIP13/MAD2L1/SPC24/ZWILCH/HASPIN/BUB3/CHEK1/GEN1/KNTC1/RAD21/TEX14	28
up	BP	GO:0045132	meiotic chromosome segregation	36/2405	88/15715	0.409090909090909	2.67312417312417	6.69026916697765	5.81658077637227e-09	8.19286682525607e-07	7.53392811727808e-07	NUF2/PLK1/PTTG1/ZWINT/AURKA/ASPM/NDC80/CCNB2/SKA1/SKA3/SGO1/KNL1/NCAPH/ESPL1/TTK/TRIP13/CCNE2/MND1/P3H4/SMC4/BRIP1/FANCD2/CCNE1/DCAF13/MAPK15/MEIKIN/TUBB8/HORMAD1/SYCE3/SYCP2/MAEL/TEX11/REC8/TEX15/KASH5/MAJIN	36
up	BP	GO:0007127	meiosis I	43/2405	118/15715	0.364406779661017	2.38114450826315	6.40134855833847	1.32533390196172e-08	1.82233411519736e-06	1.67576680085134e-06	PLK1/PTTG1/CKS2/ZWINT/AURKA/NDC80/CCNB2/TOP2A/KNL1/RAD51/ESPL1/TRIP13/RAD54L/CCNE2/MND1/RAD51AP1/P3H4/BRIP1/EME1/FANCD2/CCNE1/RMI1/CENPX/HSF2BP/BRCA2/RAD54B/TEX19/MYBL1/MEIKIN/HORMAD1/SYCE3/RAD21/CDC25B/SYCP2/MAEL/DMRT1/TEX11/REC8/DMRTC2/BRDT/TEX15/KASH5/MAJIN	43
up	BP	GO:0007088	regulation of mitotic nuclear division	43/2405	119/15715	0.361344537815126	2.36113489054665	6.33548578821311	1.77093708779497e-08	2.37840969349208e-06	2.18711814147506e-06	NEK2/PKMYT1/UBE2C/NUF2/SPC25/NUSAP1/PLK1/CDC25C/CENPF/BUB1/CCNB1/DLGAP5/ZWINT/AURKA/BUB1B/NDC80/CDCA8/BIRC5/CDC20/SKA1/SKA3/KNL1/AURKB/MKI67/ESPL1/TTK/TRIP13/MAD2L1/CDCA2/SPC24/FBXO43/ZWILCH/HASPIN/BUB3/CHEK1/RCC1/GEN1/KNTC1/ANAPC11/RAD21/TEX14/DMRT1/EPGN	43
up	BP	GO:0045653	negative regulation of megakaryocyte differentiation	14/2405	19/15715	0.736842105263158	4.81474997264471	7.07229342624774	2.02474748370855e-08	2.65748107236747e-06	2.44374427160517e-06	H4C9/H4C14/H4C5/H4C12/H4C8/H4C15/CIB1/H4C4/H4C11/H4C3/H4C16/MYB/H4C2/H4C1	14
up	BP	GO:0140014	mitotic nuclear division	78/2405	277/15715	0.28158844765343	1.83998438872085	5.99552844734229	2.61943482613915e-08	3.36160802687858e-06	3.09123946149053e-06	NEK2/KIF4A/PKMYT1/UBE2C/TPX2/UHRF1/NUF2/SPC25/NUSAP1/CDK1/PLK1/CDC25C/CENPF/BUB1/KIF18B/CCNB1/KIFC1/DLGAP5/ZWINT/KIF2C/AURKA/BUB1B/CDCA5/NDC80/CDCA8/ANLN/BIRC5/CDC20/SKA1/KIF4B/SKA3/KIF14/PRC1/KIF11/KIF23/SPAG5/KNL1/MYBL2/AURKB/MKI67/NCAPH/ESPL1/CENPE/UBE2S/TTK/KIF15/NCAPG/TRIP13/RACGAP1/MAD2L1/KIF18A/CDCA2/KIF22/CDT1/CENPI/MISP/CENPK/PSRC1/SPC24/SMC4/FBXO43/REEP4/ZWILCH/HASPIN/BUB3/CHEK1/TUBG1/RCC1/KNSTRN/NCAPG2/GEN1/KNTC1/ANAPC11/RRS1/RAD21/TEX14/DMRT1/EPGN	78
up	BP	GO:0051310	metaphase chromosome alignment	38/2405	101/15715	0.376237623762376	2.45845083468846	6.25039234999536	3.38826192679512e-08	4.25374187548736e-06	3.91162046239849e-06	NEK2/NUF2/SPC25/CDK1/CENPF/CCNB1/KIFC1/ZWINT/KIF2C/CDCA5/NDC80/CDCA8/BIRC5/SKA1/SKA3/SGO1/FAM83D/KIF14/SPAG5/KNL1/AURKB/CENPE/TTK/RACGAP1/KIF18A/ECT2/KIF22/CDT1/PSRC1/SPC24/RCC2/ZWILCH/BUB3/DSN1/KNSTRN/KNTC1/RRS1/TEX14	38
up	BP	GO:0044771	meiotic cell cycle phase transition	12/2405	15/15715	0.8	5.22744282744283	6.96282424983853	4.6578469826558e-08	5.7232056010292e-06	5.26289765453494e-06	PKMYT1/CDC25C/ZWINT/NDC80/CCNB2/CDC20/KNL1/TTK/CDC25A/MAPK15/OVOL1/CDC25B	12
up	BP	GO:0051303	establishment of chromosome localization	40/2405	111/15715	0.36036036036036	2.3547039763256	6.08835281003254	6.01403215148268e-08	6.95993728679051e-06	6.40016105934986e-06	NEK2/NUF2/SPC25/CDK1/CENPF/CCNB1/KIFC1/ZWINT/KIF2C/CDCA5/NDC80/CDCA8/BIRC5/SKA1/SKA3/SGO1/FAM83D/KIF14/SPAG5/KNL1/AURKB/CENPE/TTK/RACGAP1/KIF18A/ECT2/KIF22/CDT1/PSRC1/SPC24/RCC2/ZWILCH/BUB3/DSN1/KNSTRN/KNTC1/RRS1/TEX14/KASH5/MAJIN	40
