gene_id	module
ENSG00000154451.14	brown
ENSG00000171488.14	brown
ENSG00000097046.12	turquoise
ENSG00000069702.10	black
ENSG00000172031.6	grey
ENSG00000137936.16	turquoise
ENSG00000198691.11	grey
ENSG00000137962.12	salmon
ENSG00000117528.11	turquoise
ENSG00000117525.13	black
ENSG00000117519.15	blue
ENSG00000152078.9	grey
ENSG00000188641.12	brown
ENSG00000099260.10	black
ENSG00000162688.16	salmon
ENSG00000079335.18	grey
ENSG00000162692.10	brown
ENSG00000170989.8	black
ENSG00000060718.20	blue
ENSG00000240038.6	grey
ENSG00000237763.9	turquoise
ENSG00000162631.18	grey
ENSG00000134215.15	turquoise
ENSG00000196427.13	turquoise
ENSG00000186086.18	turquoise
ENSG00000162636.15	salmon
ENSG00000162639.15	turquoise
ENSG00000116299.16	turquoise
ENSG00000143126.7	brown
ENSG00000168765.16	turquoise
ENSG00000134184.12	turquoise
ENSG00000213366.12	turquoise
ENSG00000134202.10	turquoise
ENSG00000134201.10	black
ENSG00000184371.13	brown
ENSG00000197106.6	turquoise
ENSG00000116396.14	turquoise
ENSG00000168679.17	turquoise
ENSG00000143119.12	brown
ENSG00000064886.13	turquoise
ENSG00000173947.13	turquoise
ENSG00000171385.9	turquoise
ENSG00000155367.15	red
ENSG00000155380.11	turquoise
ENSG00000081026.18	turquoise
ENSG00000116774.11	blue
ENSG00000134198.9	blue
ENSG00000143061.17	salmon
ENSG00000116824.4	brown
ENSG00000134253.9	brown
ENSG00000134258.16	turquoise
ENSG00000183508.4	brown
ENSG00000155761.13	grey
ENSG00000092621.11	turquoise
ENSG00000134240.11	turquoise
ENSG00000134250.19	salmon
ENSG00000174827.13	turquoise
ENSG00000198483.12	turquoise
ENSG00000143127.12	black
ENSG00000265972.5	black
ENSG00000131781.12	turquoise
ENSG00000265107.2	blue
ENSG00000177144.7	salmon
ENSG00000203814.6	grey
ENSG00000270882.2	grey
ENSG00000203812.2	grey
ENSG00000272196.2	grey
ENSG00000184678.10	grey
ENSG00000159164.9	grey
ENSG00000014914.20	grey
ENSG00000023902.13	brown
ENSG00000143401.14	turquoise
ENSG00000159208.15	blue
ENSG00000266472.5	turquoise
ENSG00000143369.14	grey
ENSG00000143382.14	brown
ENSG00000143452.15	turquoise
ENSG00000163131.10	brown
ENSG00000143387.12	blue
ENSG00000143412.9	turquoise
ENSG00000143409.15	turquoise
ENSG00000163141.18	turquoise
ENSG00000143416.20	turquoise
ENSG00000143375.14	brown
ENSG00000143367.15	brown
ENSG00000143365.17	turquoise
ENSG00000197747.8	turquoise
ENSG00000163191.5	turquoise
ENSG00000163207.6	turquoise
ENSG00000163209.14	grey
ENSG00000169469.8	turquoise
ENSG00000163220.10	brown
ENSG00000143546.9	brown
ENSG00000184330.11	turquoise
ENSG00000143556.8	turquoise
ENSG00000197956.9	turquoise
ENSG00000196154.11	brown
ENSG00000196754.10	turquoise
ENSG00000188643.10	grey
ENSG00000189334.8	grey
ENSG00000189171.14	salmon
ENSG00000160678.11	turquoise
ENSG00000169418.9	black
ENSG00000143578.15	turquoise
ENSG00000143515.16	blue
ENSG00000160712.12	brown
ENSG00000160716.5	greenyellow
ENSG00000163344.5	salmon
ENSG00000173207.12	turquoise
ENSG00000143537.13	salmon
ENSG00000243364.7	salmon
ENSG00000251246.1	grey
ENSG00000143590.13	grey
ENSG00000169242.11	salmon
ENSG00000169241.17	red
ENSG00000179085.7	salmon
ENSG00000273088.1	salmon
ENSG00000185499.16	turquoise
ENSG00000116539.12	salmon
ENSG00000116584.17	turquoise
ENSG00000132698.14	brown
ENSG00000254726.2	turquoise
ENSG00000160789.19	turquoise
ENSG00000196189.12	grey
ENSG00000160781.15	red
ENSG00000183856.10	turquoise
ENSG00000132692.18	grey
ENSG00000132688.10	pink
ENSG00000143320.8	grey
ENSG00000143314.12	salmon
ENSG00000027869.11	brown
ENSG00000143297.18	brown
ENSG00000160856.20	brown
ENSG00000183853.17	blue
ENSG00000158477.6	brown
ENSG00000163563.7	brown
ENSG00000163565.18	brown
ENSG00000162706.12	black
ENSG00000213088.9	black
ENSG00000179639.10	black
ENSG00000158716.8	salmon
ENSG00000158714.10	brown
ENSG00000213085.9	turquoise
ENSG00000158710.14	turquoise
ENSG00000085552.16	grey
ENSG00000162729.13	salmon
ENSG00000018625.14	purple
ENSG00000132681.16	turquoise
ENSG00000162738.5	turquoise
ENSG00000162739.13	brown
ENSG00000066294.14	brown
ENSG00000117090.14	brown
ENSG00000117091.9	brown
ENSG00000026751.16	brown
ENSG00000122224.17	brown
ENSG00000215845.10	red
ENSG00000186517.13	brown
ENSG00000143217.8	turquoise
ENSG00000162755.13	red
ENSG00000143256.4	turquoise
ENSG00000158859.9	blue
ENSG00000158869.10	brown
ENSG00000248485.1	turquoise
ENSG00000158887.15	turquoise
ENSG00000143226.13	brown
ENSG00000173110.7	grey
ENSG00000203747.10	brown
ENSG00000162747.9	brown
ENSG00000072694.20	brown
ENSG00000132185.16	brown
ENSG00000162746.14	grey
ENSG00000162745.10	blue
ENSG00000198929.12	salmon
ENSG00000254706.2	salmon
ENSG00000239887.4	grey
ENSG00000162733.16	blue
ENSG00000117152.13	blue
ENSG00000143248.12	black
ENSG00000143228.12	turquoise
ENSG00000185630.18	turquoise
ENSG00000143194.12	grey
ENSG00000198821.10	brown
ENSG00000198771.10	brown
ENSG00000143158.10	brown
ENSG00000143147.14	turquoise
ENSG00000213064.9	turquoise
ENSG00000143196.4	black
ENSG00000143153.12	grey
ENSG00000117479.12	turquoise
ENSG00000198734.10	brown
ENSG00000174175.16	black
ENSG00000188404.8	brown
ENSG00000007908.15	brown
ENSG00000116132.11	blue
ENSG00000007933.12	brown
ENSG00000094963.13	black
ENSG00000010932.16	blue
ENSG00000120332.15	black
ENSG00000235750.9	turquoise
ENSG00000198797.6	blue
ENSG00000116191.17	turquoise
ENSG00000057252.12	brown
ENSG00000162782.15	grey
ENSG00000116260.16	grey
ENSG00000135821.17	turquoise
ENSG00000143333.6	blue
ENSG00000135862.5	blue
ENSG00000058085.14	turquoise
ENSG00000157064.10	greenyellow
ENSG00000116701.14	brown
ENSG00000116667.12	turquoise
ENSG00000116406.18	turquoise
ENSG00000135842.16	tan
ENSG00000143341.11	blue
ENSG00000116690.12	purple
ENSG00000073756.11	turquoise
ENSG00000116711.9	turquoise
ENSG00000162670.10	grey
ENSG00000090104.11	brown
ENSG00000116741.7	turquoise
ENSG00000000971.15	blue
ENSG00000066279.17	turquoise
ENSG00000177888.7	turquoise
ENSG00000213047.12	turquoise
ENSG00000081237.18	brown
ENSG00000162702.7	turquoise
ENSG00000118193.11	turquoise
ENSG00000163362.10	turquoise
ENSG00000116852.14	brown
ENSG00000081277.12	turquoise
ENSG00000159166.13	turquoise
ENSG00000174307.6	pink
ENSG00000159176.13	turquoise
ENSG00000134369.15	blue
ENSG00000163431.12	black
ENSG00000163435.15	grey
ENSG00000143851.15	brown
ENSG00000133067.17	turquoise
ENSG00000077152.9	turquoise
ENSG00000143847.15	grey
ENSG00000163485.16	grey
ENSG00000133048.12	turquoise
ENSG00000133063.15	brown
ENSG00000159388.5	turquoise
ENSG00000122176.10	turquoise
ENSG00000188783.5	blue
ENSG00000058668.14	blue
ENSG00000122188.12	brown
ENSG00000143845.14	turquoise
ENSG00000143850.13	turquoise
ENSG00000170382.11	grey
ENSG00000163531.15	greenyellow
ENSG00000133069.15	turquoise
ENSG00000186007.9	turquoise
ENSG00000117266.15	blue
ENSG00000174514.12	turquoise
