gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000119927.13	GPAM	2846.12412269851	-4.45047625084456	0.106791865565232	0	0
ENSG00000179938.12	GOLGA8J	6.89840828317571	-1.83241129026686	0.0359706094190358	0	0
ENSG00000101605.12	MYOM1	326.285948343765	-4.7791779665755	0.123055828314858	0	0
ENSG00000099953.9	MMP11	14234.0220400495	6.26333294519241	0.142719941231909	0	0
ENSG00000123500.9	COL10A1	4960.31844197333	7.09071595439473	0.157707920021082	0	0
ENSG00000117650.12	NEK2	795.579045322032	4.21578018598824	0.112250506738753	4.6312505932173e-311	1.40157080452733e-307
ENSG00000170262.12	MRAP	225.122569444995	-2.67893224607256	0.0738399490367053	1.39086772189463e-288	3.60791087059466e-285
ENSG00000022267.16	FHL1	5333.42429257914	-5.01038703975906	0.139945621274174	1.20870883252042e-279	2.74346687261323e-276
ENSG00000079308.16	TNS1	8820.21560528159	-3.11625137419069	0.0874171536235606	1.55624623070326e-278	3.13981322856775e-275
ENSG00000060718.20	COL11A1	6844.44924764543	6.14181072701566	0.177792833080782	5.8209348445403e-264	1.05696534907163e-260
ENSG00000133800.8	LYVE1	444.197446653568	-5.01958258462678	0.146123930279555	1.53831465550446e-258	2.53933795587728e-255
ENSG00000090889.11	KIF4A	839.592903447461	3.82470164665805	0.112409595113613	5.51555658394638e-253	8.34595637094153e-250
ENSG00000135437.9	RDH5	307.158066118532	-3.91487317522887	0.1187599160404	2.82850439673653e-238	3.95076791045708e-235
ENSG00000170145.4	SIK2	2185.10177228644	-2.48680593920017	0.0754938779418015	3.53277602243955e-238	4.5820105011041e-235
ENSG00000134962.6	KLB	213.659043213255	-4.74508530824708	0.144310362667403	3.68487565013584e-237	4.46066480367777e-234
ENSG00000095637.21	SORBS1	3845.07789397303	-3.69143013333774	0.112356458122215	4.7002323866498e-237	5.33417622979919e-234
ENSG00000105974.11	CAV1	5087.46742115084	-3.39513057870112	0.103481712774873	2.08558554581041e-236	2.22765072593091e-233
ENSG00000203805.10	PLPP4	259.499794142237	4.99735148233335	0.153968243907344	3.28314734808106e-232	3.31196608591421e-229
ENSG00000166803.11	PCLAF	636.643927334503	3.29808156694022	0.101664741748708	9.68723155618017e-232	9.25793424195366e-229
ENSG00000169418.9	NPR1	681.516100418671	-3.606057760705	0.111085686771106	2.57474496303352e-231	2.33761095193814e-228
ENSG00000173641.17	HSPB7	570.419169614024	-5.10993484119344	0.157937248487099	2.83344562668991e-229	2.44998598521121e-226
ENSG00000127564.16	PKMYT1	1968.61804769943	3.17465327936094	0.0987504914650197	4.03955116374526e-228	3.33409863778575e-225
ENSG00000183856.10	IQGAP3	1263.86616918736	3.66366121267855	0.11478060489374	8.32423890343434e-225	6.57180565254612e-222
ENSG00000056998.19	GYG2	1327.1907484211	-4.13903000679829	0.129428887450526	6.60970050643143e-224	5.00078924149092e-221
ENSG00000163815.5	CLEC3B	853.981033503233	-3.56510155780794	0.11185670392503	3.18567796590691e-223	2.31382162019751e-220
ENSG00000175063.16	UBE2C	1240.75534348417	4.17949166660132	0.131753034292012	9.59776601684065e-223	6.70293212822279e-220
ENSG00000120049.18	KCNIP2	583.488007546938	-5.16455800994497	0.162130254484424	1.36504425047789e-222	9.18017537043611e-220
ENSG00000181856.14	SLC2A4	175.05817646438	-4.6448057875078	0.146274590310101	2.13719112865775e-221	1.38596844693455e-218
ENSG00000164849.9	GPR146	292.165314000717	-2.89660861269514	0.0914575614423921	1.36748866189677e-220	8.56236521473157e-218
ENSG00000131471.6	AOC3	3162.60417158206	-3.99118565050012	0.126279919918732	1.73216217153247e-219	1.04842002368955e-216
ENSG00000105011.8	ASF1B	897.899560352518	3.04196064663745	0.0968826692335668	7.87044871267296e-218	4.6100518620876e-215
ENSG00000088325.15	TPX2	2598.03913252977	3.56713710698035	0.112750941574534	2.98635977277278e-217	1.69457252356275e-214
ENSG00000276043.4	UHRF1	811.0666915414	3.34321218085352	0.106609740034148	2.14254625046083e-216	1.17891984290508e-213
ENSG00000123612.15	ACVR1C	336.779024475469	-5.23353666738396	0.166917489288238	1.12826145566359e-215	6.02557985645276e-213
ENSG00000165028.11	NIPSNAP3B	92.7945701816291	-2.9645978565353	0.0948184988120999	3.37751614932322e-215	1.75225537826888e-212
ENSG00000172901.19	LVRN	85.1849267084135	-5.09583066773629	0.163552846870755	4.25707656227979e-213	2.14722211716323e-210
ENSG00000145708.10	CRHBP	36.2013665025139	-3.93455392813854	0.126664853921814	2.91660935888512e-212	1.43134574969287e-209
ENSG00000077152.9	UBE2T	766.274947467147	3.20374699415036	0.103862740239287	1.22261489356125e-210	5.84216874665399e-208
ENSG00000115306.15	SPTBN1	13101.498878694	-2.07723985896635	0.0671833988525728	2.36050032512871e-210	1.09902474112018e-207
ENSG00000148180.19	GSN	21718.5442750553	-2.52942111787663	0.0819862201945343	8.88636013448015e-210	4.03396318304726e-207
ENSG00000143228.12	NUF2	576.102491206987	3.74226885624526	0.121968673088686	1.22438952742987e-209	5.42255244855402e-207
ENSG00000165410.14	CFL2	767.208684110161	-2.27020564860283	0.0738228015168767	3.29172961809298e-208	1.4231244382222e-205
ENSG00000152253.8	SPC25	238.84258738144	2.85575438944571	0.0931380137969625	6.66080050959879e-208	2.81271664309988e-205
ENSG00000077616.10	NAALAD2	60.746613533851	-3.05163971739613	0.0995085796062727	5.04087032005241e-207	2.08027552889799e-204
ENSG00000124743.5	KLHL31	163.659058443885	-3.88669871127535	0.126910696425207	2.58444560888382e-206	1.04285251924694e-203
